iter	Passed	Remaining
0	32	32904
1	62	31301
2	93	31139
3	121	30251
4	148	29640
5	178	29530
6	204	29034
7	236	29359
8	264	29123
9	291	28856
10	321	28912
11	348	28726
12	381	28948
13	412	29023
14	440	28945
15	467	28776
16	496	28732
17	526	28732
18	556	28710
19	587	28764
20	614	28638
21	643	28627
22	676	28718
23	705	28706
24	735	28694
25	762	28558
26	789	28445
27	820	28499
28	849	28448
29	878	28404
30	908	28393
31	939	28417
32	969	28422
33	1002	28473
34	1035	28537
35	1063	28469
36	1092	28446
37	1124	28475
38	1156	28500
39	1185	28455
40	1211	28343
41	1240	28297
42	1271	28291
43	1304	28332
44	1331	28257
45	1365	28315
46	1393	28259
47	1422	28205
48	1453	28207
49	1483	28192
50	1515	28200
51	1545	28167
52	1574	28128
53	1604	28116
54	1635	28108
55	1669	28142
56	1699	28112
57	1728	28081
58	1761	28095
59	1790	28054
60	1820	28027
61	1851	28016
62	1882	28001
63	1914	28004
64	1943	27950
65	1974	27941
66	2005	27928
67	2034	27886
68	2066	27888
69	2098	27883
70	2130	27871
71	2158	27826
72	2189	27805
73	2223	27822
74	2253	27790
75	2283	27759
76	2312	27714
77	2344	27713
78	2375	27698
79	2410	27717
80	2437	27658
81	2464	27588
82	2496	27578
83	2525	27542
84	2553	27492
85	2582	27449
86	2613	27422
87	2645	27415
88	2675	27389
89	2706	27366
90	2733	27304
91	2762	27261
92	2794	27254
93	2828	27257
94	2859	27240
95	2891	27229
96	2922	27204
97	2951	27162
98	2977	27096
99	3008	27080
100	3038	27048
101	3068	27011
102	3097	26972
103	3129	26964
104	3158	26918
105	3185	26865
106	3213	26818
107	3242	26777
108	3272	26752
109	3305	26740
110	3335	26716
111	3365	26683
112	3396	26662
113	3426	26630
114	3464	26662
115	3494	26627
116	3522	26586
117	3554	26571
118	3584	26540
119	3614	26503
120	3652	26531
121	3683	26512
122	3714	26481
123	3743	26448
124	3771	26398
125	3803	26380
126	3835	26362
127	3865	26334
128	3896	26306
129	3925	26271
130	3954	26233
131	3984	26199
132	4015	26174
133	4046	26150
134	4077	26124
135	4105	26081
136	4135	26052
137	4167	26032
138	4199	26012
139	4230	25989
140	4262	25967
141	4292	25933
142	4323	25907
143	4352	25874
144	4380	25827
145	4412	25810
146	4440	25764
147	4471	25743
148	4501	25712
149	4533	25691
150	4562	25651
151	4593	25629
152	4624	25602
153	4653	25565
154	4683	25535
155	4716	25517
156	4748	25495
157	4779	25470
158	4810	25446
159	4840	25414
160	4870	25379
161	4901	25353
162	4928	25309
163	4957	25272
164	4987	25239
165	5018	25213
166	5049	25187
167	5080	25158
168	5114	25148
169	5141	25102
170	5171	25071
171	5203	25051
172	5235	25029
173	5265	24994
174	5293	24954
175	5323	24924
176	5353	24892
177	5383	24861
178	5413	24829
179	5444	24803
180	5475	24774
181	5504	24738
182	5533	24705
183	5565	24683
184	5596	24656
185	5627	24627
186	5658	24601
187	5688	24568
188	5713	24517
189	5745	24494
190	5774	24460
191	5806	24436
192	5838	24413
193	5867	24377
194	5896	24341
195	5923	24298
196	5954	24270
197	5984	24241
198	6013	24206
199	6043	24175
200	6073	24142
201	6103	24113
202	6135	24086
203	6164	24054
204	6197	24032
205	6226	23999
206	6253	23958
207	6285	23932
208	6317	23909
209	6347	23879
210	6376	23842
211	6405	23810
212	6438	23787
213	6471	23767
214	6502	23741
215	6535	23723
216	6569	23703
217	6601	23680
218	6634	23660
219	6665	23632
220	6696	23604
221	6725	23570
222	6755	23538
223	6788	23516
224	6819	23490
225	6850	23462
226	6882	23435
227	6912	23404
228	6944	23382
229	6972	23343
230	7002	23312
231	7033	23282
232	7063	23252
233	7095	23227
234	7125	23197
235	7155	23163
236	7185	23133
237	7218	23110
238	7246	23074
239	7279	23050
240	7311	23027
241	7340	22993
242	7370	22960
243	7400	22930
244	7432	22904
245	7461	22871
246	7494	22846
247	7525	22819
248	7557	22794
249	7587	22761
250	7618	22733
251	7649	22707
252	7680	22678
253	7711	22649
254	7743	22622
255	7772	22589
256	7801	22554
257	7832	22525
258	7860	22488
259	7891	22460
260	7920	22427
261	7949	22390
262	7980	22362
263	8009	22330
264	8039	22298
265	8071	22271
266	8102	22244
267	8133	22215
268	8161	22179
269	8193	22152
270	8224	22122
271	8254	22093
272	8287	22069
273	8317	22037
274	8343	21996
275	8376	21971
276	8407	21945
277	8436	21910
278	8466	21879
279	8497	21849
280	8527	21818
281	8558	21789
282	8589	21761
283	8620	21733
284	8651	21704
285	8681	21673
286	8714	21648
287	8744	21618
288	8773	21585
289	8805	21559
290	8835	21526
291	8866	21497
292	8895	21464
293	8925	21432
294	8955	21402
295	8987	21376
296	9018	21347
297	9048	21314
298	9078	21283
299	9108	21253
300	9136	21218
301	9168	21190
302	9196	21154
303	9223	21117
304	9253	21086
305	9285	21058
306	9318	21035
307	9349	21005
308	9379	20975
309	9408	20941
310	9441	20916
311	9471	20885
312	9501	20855
313	9531	20823
314	9562	20794
315	9593	20764
316	9623	20734
317	9652	20700
318	9683	20672
319	9714	20642
320	9743	20609
321	9777	20586
322	9809	20560
323	9837	20524
324	9866	20492
325	9898	20465
326	9929	20435
327	9959	20405
328	9989	20374
329	10018	20340
330	10048	20308
331	10082	20285
332	10114	20259
333	10146	20231
334	10178	20204
335	10210	20177
336	10239	20145
337	10269	20113
338	10300	20084
339	10329	20050
340	10360	20022
341	10391	19992
342	10436	19989
343	10481	19987
344	10518	19969
345	10547	19936
346	10577	19905
347	10606	19872
348	10637	19842
349	10670	19816
350	10700	19784
351	10733	19759
352	10762	19727
353	10794	19698
354	10826	19670
355	10857	19641
356	10888	19610
357	10918	19579
358	10947	19547
359	10978	19517
360	11009	19487
361	11038	19455
362	11070	19426
363	11100	19394
364	11130	19363
365	11160	19332
366	11191	19302
367	11220	19269
368	11251	19240
369	11283	19212
370	11313	19180
371	11343	19149
372	11373	19119
373	11403	19087
374	11435	19058
375	11467	19031
376	11497	19000
377	11526	18966
378	11556	18935
379	11589	18908
380	11619	18878
381	11650	18848
382	11682	18819
383	11710	18786
384	11740	18754
385	11773	18728
386	11803	18695
387	11833	18665
388	11863	18634
389	11894	18604
390	11924	18572
391	11954	18540
392	11986	18512
393	12016	18481
394	12044	18447
395	12071	18412
396	12100	18380
397	12132	18350
398	12163	18321
399	12195	18293
400	12224	18260
401	12253	18228
402	12284	18197
403	12312	18164
404	12344	18135
405	12372	18101
406	12401	18069
407	12434	18042
408	12465	18012
409	12498	17985
410	12532	17960
411	12563	17930
412	12591	17896
413	12623	17868
414	12653	17836
415	12682	17804
416	12713	17774
417	12744	17744
418	12777	17717
419	12806	17685
420	12838	17656
421	12867	17624
422	12897	17593
423	12929	17564
424	12960	17535
425	12990	17504
